control_id,control_domain,risk_theme,eu_requirement_theme,uk_requirement_theme,singapore_requirement_theme,uae_requirement_theme,iso_42001_theme,nist_ai_rmf_theme,aurelia_harmonised_control,jurisdiction_specific_enhancement,evidence_required,applicability_status
CTRL-001,Governance,Accountability and oversight,Assess applicable governance and human oversight obligations,Accountability transparency and regulator-specific expectations,Clear roles responsibilities and human accountability,Assess applicable UAE AI governance and sector expectations,AI policy roles responsibilities and AIMS governance,GOVERN,MAP,MANAGE,AI Governance Standard with named owner approval authority and escalation,Local role or approval enhancements where required,AI governance charter RACI approval records,Assess applicability
CTRL-002,Risk Management,AI risk assessment,Assess applicable risk management and system classification requirements,Apply proportionate risk-based governance and existing regulatory principles,Structured risk assessment and responsible deployment practices,Assess applicable risk and governance expectations,AI risk assessment and treatment process,GOVERN,MAP,MEASURE,MANAGE,Risk-based AI assessment with documented treatment and residual risk,Jurisdiction-specific classification or assessment enhancement,Risk assessment worksheet treatment plan residual risk approval,Assess applicability
CTRL-003,Data Governance,Data quality and provenance,Assess applicable data governance requirements,Data governance and privacy expectations,Data accountability and protection principles,Applicable UAE data protection and sector requirements,Data governance controls and documented information,MAP,MEASURE,Data lineage quality provenance and permitted-use controls,Local transfer retention or data-subject enhancements,Data map lineage records DPA transfer assessment,Assess applicability
CTRL-004,Human Oversight,Automation bias and intervention,Assess applicable human oversight obligations,Accountability and meaningful oversight expectations,Human involvement and accountability including agentic checkpoints where relevant,Assess applicable oversight expectations,Defined responsibilities and operational controls,GOVERN,MANAGE,Qualified human review intervention override and escalation,Local competency or approval requirements,Reviewer logs override records training evidence,Assess applicability
CTRL-005,Transparency,Explainability and user communication,Assess applicable transparency and information requirements,Transparency and communication principles,Explainability transparency fairness and user communication,Assess applicable disclosure requirements,Information provision and documented processes,GOVERN,MEASURE,User-facing transparency and decision rationale proportionate to risk,Local notices disclosure language or timing,Notices model documentation user communications,Assess applicability
CTRL-006,Third-Party AI,Vendor and foundation model risk,Assess provider and deployer responsibilities where relevant,Third-party governance and accountability expectations,Third-party AI governance and agent supply-chain considerations,Assess supplier and data-processing requirements,AI supplier relationship and lifecycle controls,MAP,MANAGE,AI vendor due diligence contractual controls monitoring and exit planning,Local contractual regulatory or data-processing clauses,Vendor assessment DPA SLA audit rights model cards incident clauses,Assess applicability
CTRL-007,Security and Resilience,AI security and robustness,Assess applicable security robustness and lifecycle requirements,Security resilience and regulator expectations,Technical controls robustness testing and secure deployment,Assess UAE cyber and data requirements where relevant,Operational controls and continual improvement,MEASURE,MANAGE,AI security testing access control resilience and change management,Local security or notification enhancements,Security assessment testing results access logs change records,Assess applicability
CTRL-008,Monitoring,Performance drift and post-deployment risk,Assess applicable monitoring and incident requirements,Monitoring and accountability expectations,Lifecycle monitoring and testing including agentic controls where relevant,Assess applicable monitoring expectations,Monitoring measurement improvement,MEASURE,MANAGE,Continuous monitoring with thresholds alerts escalation and periodic reassessment,Local reporting or review cadence enhancements,Monitoring dashboard KPI logs incident records review minutes,Assess applicability
CTRL-009,Incident Management,AI incidents and harm,Assess applicable incident reporting and corrective action requirements,Incident governance and regulator-specific reporting where relevant,Incident response and accountability practices,Assess applicable UAE incident and sector requirements,Incident management and corrective action,GOVERN,MANAGE,AI incident triage severity escalation remediation and lessons learned,Jurisdiction-specific notification timelines or recipients,Incident register notification assessment remediation evidence,Assess applicability
CTRL-010,Documentation and Evidence,Auditability and traceability,Assess documentation and record-keeping requirements,Accountability and evidence expectations,Documentation traceability and assurance practices,Assess applicable record-keeping requirements,Documented information and evidence retention,GOVERN,MAP,MEASURE,MANAGE,Central evidence register linked to controls and AI systems,Local retention language or prescribed evidence where applicable,Evidence register approvals model documentation test results,Assess applicability
CTRL-011,Change Management,Model updates and material changes,Assess applicable lifecycle and change requirements,Change governance and accountability expectations,Agent and model change controls where relevant,Assess applicable change governance expectations,AI lifecycle and continual improvement,MAP,MEASURE,MANAGE,Formal AI change assessment approval testing rollback and notification process,Local notification or re-assessment enhancements,Change tickets impact assessment validation approval rollback record,Assess applicability
CTRL-012,Assurance,Independent testing and audit,Assess applicable conformity or assurance requirements,Independent assurance and accountability expectations,AI assurance and testing practices,Assess applicable assurance expectations,Internal audit and continual improvement interface,GOVERN,MEASURE,Independent review of design and operating effectiveness with remediation tracking,Jurisdiction-specific conformity or assurance enhancement,Audit workpapers findings management actions closure evidence,Assess applicability
