system_id,system_name,business_function,ai_type,primary_use_case,eu,uk,singapore,uae,personal_data,sensitive_data,consequential_decision,employment,credit_financial_decision,customer_facing,third_party_ai,autonomy,human_override,material_impact,illustrative_classification,control_ceiling
AI-001,AureliaHire,HR,Supervised ML,CV screening and candidate ranking,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Semi-autonomous,Yes,High,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
AI-002,AureliaKYC,Compliance,NLP / Document AI,KYC document extraction and risk flagging,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Decision support,Yes,High,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
AI-003,AureliaCredit,Risk,Machine Learning,Credit risk assessment support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Decision support,Yes,High,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
AI-004,AureliaAML,Financial Crime,Machine Learning,Transaction monitoring and alert prioritisation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Semi-autonomous,Yes,High,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
AI-005,AureliaNAV,Fund Operations,Anomaly Detection,NAV anomaly detection and exception prioritisation,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Decision support,Yes,Medium,ENHANCED GOVERNANCE,Enhanced common control baseline with local overlays
AI-006,AureliaValuation,Investment,ML / Predictive Analytics,Private equity valuation support,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Decision support,Yes,Medium,ENHANCED GOVERNANCE,Enhanced common control baseline with local overlays
AI-007,AureliaClientAI,Investor Relations,Generative AI / RAG,Client-facing investment information assistant,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Decision support,Yes,High,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
AI-008,AureliaContractAI,Legal / Operations,Generative AI / NLP,Contract extraction and clause summarisation,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Decision support,Yes,Medium,ENHANCED GOVERNANCE,Enhanced common control baseline with local overlays
AI-009,AureliaHR Copilot,HR,Generative AI,Internal employee HR assistant,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Decision support,Yes,Medium,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
AI-010,AureliaBoardAI,Finance / Board,Generative AI / RAG,Board reporting and management information assistant,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Decision support,Yes,High,HIGH GOVERNANCE ATTENTION,Highest applicable requirement across relevant jurisdictions and frameworks
