Monitoring_ID,System_ID,Monitoring_Domain,KRI,Metric_Definition,Threshold_Green,Threshold_Amber,Threshold_Red,Current_Status,Owner,Review_Frequency,Evidence,Escalation_Trigger,Reassessment_Trigger,EU_AI_Act,UK_AI_Governance,Singapore_AI_Governance,UAE_AI_Governance,ISO_42001,NIST_AI_RMF
MON-001,AI-001,Fairness,Selection-rate disparity,Compare selection rates across defined demographic groups,<=10%,>10% to 20%,>20%,Amber,AI Risk Owner,Monthly,Fairness test results and monitoring report,Red threshold or adverse trend,Material change in model data or affected population,Art. 9 risk management and Art. 10 data governance,Fairness and accountability principles,FEAT fairness,Responsible AI and fairness,A.6 risk assessment; A.7 data; A.10 impact assessment,MEASURE fairness; MANAGE mitigation
MON-002,AI-001,Model performance,Ranking precision,Relevant candidates appearing in approved quality sample,>=90%,80% to <90%,<80%,Green,AI Product Owner,Monthly,Validation sample and performance report,Red threshold or unexplained deterioration,Model update or material performance change,Art. 9 and Art. 15 accuracy and robustness,Robustness and accountability expectations,Model governance and transparency,Responsible AI and model governance,A.6 risk assessment; A.9 responsible use,MEASURE validity and reliability; MANAGE controls
MON-003,AI-002,Operational accuracy,NAV exception false positive rate,Exceptions flagged by AI that are not confirmed by human review,<=5%,>5% to 10%,>10%,Green,AI Risk Owner,Monthly,Exception review log and QA results,Red threshold or repeated control failure,Model change or process change,Art. 9 and Art. 15 accuracy and robustness,Robustness and accountability,Accountability and human oversight,Responsible AI and human oversight,A.6 risk assessment; A.8 information; A.9 responsible use,MEASURE accuracy; MANAGE monitoring
MON-004,AI-005,Compliance performance,False positive KYC alert rate,Alerts rejected after compliance investigation,<=20%,>20% to 30%,>30%,Amber,Compliance AI Owner,Monthly,KYC QA sample and investigation outcomes,Red threshold or material customer impact,Threshold change or model update,Art. 9 risk management; Art. 10 data governance,Accountability and transparency,Accountability and governance,Responsible AI and data governance,A.6 risk assessment; A.7 data,MEASURE validity; MANAGE risk response
MON-005,AI-004,Generative AI reliability,Unverified output rate,Material investor commentary requiring factual correction after human review,<=2%,>2% to 5%,>5%,Green,AI Risk Owner,Monthly,Human review records and correction log,Red threshold or material external communication error,Foundation model or prompt architecture change,Art. 13 transparency; Art. 14 human oversight; Art. 15 robustness,Transparency and accountability,Generative AI governance and human oversight,Responsible generative AI and oversight,A.6 risk assessment; A.8 information; A.9 responsible use,MEASURE reliability; MANAGE safeguards
MON-006,AI-006,Customer impact,High-risk unresolved interactions,Customer interactions requiring escalation that remain unresolved beyond target SLA,0%,>0% to 2%,>2%,Green,Client AI Owner,Weekly,Escalation log and service review,Any material unresolved high-risk case,Change in use case or customer population,Art. 9 risk management; Art. 14 human oversight,Accountability and contestability,Human involvement and accountability,Human oversight and responsible AI,A.6 risk assessment; A.8 information; A.10 impact assessment,GOVERN accountability; MANAGE response
MON-007,AI-001,Human oversight,Override rate,Percentage of AI recommendations overridden by authorised human reviewers,>=5%,2% to <5%,<2%,Green,AI Risk Owner,Monthly,Override logs and reviewer QA,Low override rate indicating ineffective oversight,Workflow or reviewer population change,Art. 14 human oversight,Human oversight and accountability,Human involvement,Human oversight,A.8 information; A.9 responsible use,GOVERN roles; MEASURE oversight effectiveness
MON-008,AI-001,Data drift,Input distribution shift,Population stability or equivalent drift measure against approved baseline,<=0.10,>0.10 to 0.20,>0.20,Green,Data Owner,Monthly,Data quality and drift report,Red threshold or persistent adverse trend,Material data source or population change,Art. 10 data governance,Data governance and accountability,Data governance,Data governance,A.7 data,MEASURE data quality; MANAGE controls
MON-009,AI-001,AI incident,Material AI incident rate,Confirmed incidents causing material customer operational or regulatory impact,0,1,>=2,Green,AI Risk Owner,Monthly,Incident register and root cause analysis,Any material incident,Major incident or repeated near misses,Art. 73 incident reporting where applicable,Accountability and incident governance,Incident management expectations,AI incident governance,A.6 risk assessment; A.9 responsible use,MANAGE incidents and remediation
MON-010,AI-001,Vendor dependency,Vendor model change notification,Material vendor changes received before deployment,100%,90% to <100%,<90%,Green,Third Party Risk Owner,Quarterly,Vendor notices and change records,Red threshold or unapproved change,Foundation model or vendor change,Art. 25 and applicable provider/deployer obligations,Third-party governance,AI supply chain governance,Third-party AI risk,A.6 risk assessment; supplier controls, GOVERN third-party risk; MANAGE changes
