system_id,system_name,function,ai_type,provider,regions,lifecycle,decision_impact,human_oversight,personal_data,sensitive_data,financial_impact,regulatory_impact,third_party,explainability_challenge,autonomy_level,data_cross_border,eu_ai_act_applicability,uk_ai_governance_applicability,singapore_ai_governance_applicability,uae_ai_governance_applicability,iso_42001_alignment,nist_ai_rmf_functions,control_ceiling_basis,applicability_basis
AI-001,Aurelia Research Copilot,Investment Research,GenAI/LLM,Enterprise LLM Provider,UK|EU|Singapore|UAE,Production,Investment research recommendations,Required,Yes,Yes,High,High,Yes,High,2,Yes,Assess,Assess,Assess,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-002,ValuAI,Private Equity Valuation,Predictive ML,Internal Model,UK|UAE,Production,Valuation decision support,Required,No,Yes,High,High,No,High,2,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-003,NAVAssist,Fund Administration,ML plus rules,Internal and Vendor Components,EU|UK,Production,NAV exception identification,Required,Yes,Yes,High,High,Yes,Medium,2,Yes,Assess,Assess,Not primary,Not primary,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-004,InvestorGPT,Investor Reporting,GenAI/LLM,Enterprise LLM Provider,UK|EU|UAE,Production,Investor communication support,Required,Yes,Yes,High,High,Yes,High,2,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-005,KYC Sentinel,Compliance,Predictive ML,Specialist Vendor,EU|UK|UAE,Production,KYC and AML risk scoring,Required,Yes,Yes,High,High,Yes,High,3,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-006,Aurelia ClientBot,Investor Relations,GenAI/LLM,Enterprise LLM Provider,UAE|UK,Production,Client-facing information and support,Required,Yes,Yes,Medium,High,Yes,High,2,Yes,Not primary,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-007,ContractIQ,Legal and Procurement,GenAI/NLP,Enterprise LLM Provider,Singapore|UK,Production,Contract analysis and summarisation,Required,Yes,Yes,Medium,Medium,Yes,Medium,2,Yes,Not primary,Assess,Assess,Not primary,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-008,TalentAI,Human Resources,ML,HR Technology Vendor,UK,Production,Candidate screening support,Required,Yes,Yes,Medium,High,Yes,High,2,No,Not primary,Assess,Not primary,Not primary,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-009,CodeAssist,Technology,GenAI/LLM,Enterprise LLM Provider,Global,Production,Software development assistance,Required,No,Yes,Medium,Medium,Yes,Medium,1,Yes,Assess,Assess,Assess,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Global availability requires jurisdictional assessment
AI-010,MarketingGen,Marketing,GenAI/LLM,Enterprise LLM Provider,UAE|UK|EU,Production,Marketing content generation,Required,Yes,No,Low,Medium,Yes,Medium,1,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
